CSCO,25-Nov-2015,27.32,27.389999,27,27.24,22472500
CSCO,24-Nov-2015,27.25,27.440001,27,27.27,31701900
CSCO,23-Nov-2015,27.65,27.84,27.34,27.43,24684600
CSCO,20-Nov-2015,27.59,27.780001,27.459999,27.57,26472100
CSCO,19-Nov-2015,27.1,27.65,27.049999,27.370001,27385400
CSCO,18-Nov-2015,27,27.16,26.73,27.120001,26761700
CSCO,17-Nov-2015,26.799999,27.27,26.68,26.809999,30007300
CSCO,16-Nov-2015,26.07,27,26.059999,26.790001,44661100
CSCO,13-Nov-2015,26.290001,26.68,25.82,26.209999,90659100
CSCO,12-Nov-2015,27.74,28.07,27.719999,27.83,36831300
CSCO,11-Nov-2015,28.1,28.1,27.75,27.82,30773100
CSCO,10-Nov-2015,28.18,28.219999,27.9,27.98,25381000
CSCO,09-Nov-2015,28.35,28.49,28,28.18,25820300
CSCO,06-Nov-2015,28.309999,28.549999,28.16,28.450001,26043900
CSCO,05-Nov-2015,28.5,28.610001,28.290001,28.43,21972000
CSCO,04-Nov-2015,28.790001,28.82,28.370001,28.469999,28552000
CSCO,03-Nov-2015,28.610001,28.709999,28.49,28.610001,30184300
CSCO,02-Nov-2015,28.870001,28.870001,28.51,28.77,28674800
NFLX,25-Nov-2015,124.230003,125.199997,122.360001,124.160004,10948900
NFLX,24-Nov-2015,123.669998,124.660004,120.029999,123.309998,18317600
NFLX,23-Nov-2015,124.300003,126.199997,121.660004,125.029999,15670300
NFLX,20-Nov-2015,120.849998,124.07,119.209999,123.839996,17887900
NFLX,19-Nov-2015,120.25,123.129997,119.610001,120.220001,19088800
NFLX,18-Nov-2015,117.940002,121,116.099998,120.629997,23287800
NFLX,17-Nov-2015,112.110001,118.790001,111.699997,117.099998,32936200
NFLX,16-Nov-2015,102.970001,111.650002,101.860001,111.349998,19802500
NFLX,13-Nov-2015,108.339996,109.07,103.269997,103.650002,18726600
NFLX,12-Nov-2015,112.519997,115.25,108.199997,108.919998,17364000
NFLX,11-Nov-2015,113.080002,114.610001,111.410004,112.860001,11021000
NFLX,10-Nov-2015,108.860001,112.839996,108.010002,112.699997,11150800
NFLX,09-Nov-2015,113.360001,114,108.639999,109.860001,16132400
NFLX,06-Nov-2015,113.389999,114.800003,112.050003,114.059998,10913100
NFLX,05-Nov-2015,113.75,115.68,111.720001,113.5,13789600
NFLX,04-Nov-2015,110.360001,114.279999,109.389999,114.050003,17207500
NFLX,03-Nov-2015,107.360001,111.050003,107.239998,109.739998,12460200
NFLX,02-Nov-2015,109.199997,109.370003,106.300003,107.639999,11753200
INTC,25-Nov-2015,34.259998,34.740002,34.139999,34.450001,17928600
INTC,24-Nov-2015,34.330002,34.439999,33.900002,34.360001,21364500
INTC,23-Nov-2015,34.66,34.849998,34.41,34.48,20097100
INTC,20-Nov-2015,34.48,35.290001,34.48,34.66,36892000
INTC,19-Nov-2015,33.220001,34.73,33.130001,34.299999,45091100
INTC,18-Nov-2015,32.73,33.240002,32.619999,33.16,18311200
INTC,17-Nov-2015,32.150002,32.880001,32.009998,32.639999,22352700
INTC,16-Nov-2015,32.09,32.259998,31.93,32.099998,29362200
INTC,13-Nov-2015,32.27,32.380001,31.959999,32.110001,22927300
INTC,12-Nov-2015,32.709999,32.919998,32.389999,32.400002,22949200
INTC,11-Nov-2015,33.16,33.380001,32.799999,32.860001,19864700
INTC,10-Nov-2015,33.169998,33.27,32.810001,33.209999,22451700
INTC,09-Nov-2015,33.599998,33.830002,33.080002,33.349998,24168700
INTC,06-Nov-2015,33.93,33.970001,33.41,33.84,23701700
INTC,05-Nov-2015,34.099998,34.200001,33.73,34,16486100
INTC,04-Nov-2015,34.27,34.27,33.900002,34.150002,20762100
INTC,03-Nov-2015,34,34.41,33.98,34.070002,18167000
INTC,02-Nov-2015,33.73,34.279999,33.639999,33.8714,21743100
QCOM,25-Nov-2015,49.41,49.650002,48.849998,49.099998,9557500
QCOM,24-Nov-2015,49.029999,49.73,48.860001,49.41,12037500
QCOM,23-Nov-2015,49.09,49.580002,48.759998,48.970001,11619000
QCOM,20-Nov-2015,48.799999,49.77,48.5,49.619999,16864800
QCOM,19-Nov-2015,48.509998,49.279999,48.23,48.389999,20536000
QCOM,18-Nov-2015,51.939999,51.939999,47.52,48,45074400
QCOM,17-Nov-2015,52.700001,53.549999,52.57,52.98,10600000
QCOM,16-Nov-2015,51.959999,52.860001,51.959999,52.77,9111000
QCOM,13-Nov-2015,52.299999,52.75,51.82,51.939999,10350300
